
Epoch 95, Train Accuracy: 0.87253338098526 , TrainLoss: 0.3545128757621912 , Test Accuracy: 0.572688102722168 , TestLoss: 0.6484837992904628


Epoch 96, Train Accuracy: 0.8718616366386414 , TrainLoss: 0.35914262921276213 , Test Accuracy: 0.5746473073959351 , TestLoss: 0.6467967815368739


Epoch 97, Train Accuracy: 0.8775716423988342 , TrainLoss: 0.3492459646649881 , Test Accuracy: 0.5750391483306885 , TestLoss: 0.6474208432988042


Epoch 98, Train Accuracy: 0.87664794921875 , TrainLoss: 0.35295202747551657 , Test Accuracy: 0.5760188102722168 , TestLoss: 0.6461363890197277


Epoch 99, Train Accuracy: 0.8795029520988464 , TrainLoss: 0.33799534983722135 , Test Accuracy: 0.5732758641242981 , TestLoss: 0.6572758024931454


Epoch 100, Train Accuracy: 0.882945716381073 , TrainLoss: 0.3346944928909992 , Test Accuracy: 0.5762147307395935 , TestLoss: 0.6576755998396675


Epoch 101, Train Accuracy: 0.8819380402565002 , TrainLoss: 0.33699991098628634 , Test Accuracy: 0.5738636255264282 , TestLoss: 0.6602535529684807


Epoch 102, Train Accuracy: 0.8879839181900024 , TrainLoss: 0.3191828693168841 , Test Accuracy: 0.5768024921417236 , TestLoss: 0.6614499090100048


Epoch 103, Train Accuracy: 0.8899152278900146 , TrainLoss: 0.32062609785524443 , Test Accuracy: 0.5764106512069702 , TestLoss: 0.6623472141192516


Epoch 104, Train Accuracy: 0.8896633386611938 , TrainLoss: 0.31346522420719836 , Test Accuracy: 0.5762147307395935 , TestLoss: 0.6640211283605059


Epoch 105, Train Accuracy: 0.8937778472900391 , TrainLoss: 0.3060283667520308 , Test Accuracy: 0.5760188102722168 , TestLoss: 0.66561649199827


Epoch 106, Train Accuracy: 0.8948694467544556 , TrainLoss: 0.30702822231436966 , Test Accuracy: 0.5752350687980652 , TestLoss: 0.6673240816976553


Epoch 107, Train Accuracy: 0.8929381370544434 , TrainLoss: 0.30455328872461285 , Test Accuracy: 0.5766065716743469 , TestLoss: 0.668882212717734


Epoch 108, Train Accuracy: 0.8898312449455261 , TrainLoss: 0.30633520838587996 , Test Accuracy: 0.5760188102722168 , TestLoss: 0.6699275284973036


Epoch 109, Train Accuracy: 0.8938618302345276 , TrainLoss: 0.30058703557981914 , Test Accuracy: 0.5750391483306885 , TestLoss: 0.6716996156976148


Epoch 110, Train Accuracy: 0.8940297365188599 , TrainLoss: 0.3021858871203344 , Test Accuracy: 0.5754310488700867 , TestLoss: 0.67266713683016


Epoch 111, Train Accuracy: 0.8946175575256348 , TrainLoss: 0.2992163605769682 , Test Accuracy: 0.5756269693374634 , TestLoss: 0.6737151737326849


Epoch 112, Train Accuracy: 0.8962129950523376 , TrainLoss: 0.3008943360146141 , Test Accuracy: 0.5750391483306885 , TestLoss: 0.6744386480941471


Epoch 113, Train Accuracy: 0.8945335745811462 , TrainLoss: 0.3008385809795794 , Test Accuracy: 0.5768024921417236 , TestLoss: 0.6758266493499164


Epoch 114, Train Accuracy: 0.8971366286277771 , TrainLoss: 0.2929694803683601 , Test Accuracy: 0.5768024921417236 , TestLoss: 0.6768085285301763


Epoch 115, Train Accuracy: 0.8976404666900635 , TrainLoss: 0.2963516353808224 , Test Accuracy: 0.5756269693374634 , TestLoss: 0.6760703357603961


Epoch 116, Train Accuracy: 0.8984801769256592 , TrainLoss: 0.297401345049427 , Test Accuracy: 0.5769984126091003 , TestLoss: 0.6766370543805765


Epoch 117, Train Accuracy: 0.8968007564544678 , TrainLoss: 0.2965523328921312 , Test Accuracy: 0.5764106512069702 , TestLoss: 0.6768291768724206


Epoch 118, Train Accuracy: 0.899907648563385 , TrainLoss: 0.2927110209424186 , Test Accuracy: 0.5762147307395935 , TestLoss: 0.6781956059815191


Epoch 119, Train Accuracy: 0.894785463809967 , TrainLoss: 0.2954941807482578 , Test Accuracy: 0.5754310488700867 , TestLoss: 0.6796074379640599


Epoch 120, Train Accuracy: 0.8962969779968262 , TrainLoss: 0.2997253010000507 , Test Accuracy: 0.5752350687980652 , TestLoss: 0.6804474282799244


Epoch 121, Train Accuracy: 0.9003275036811829 , TrainLoss: 0.2980632714213826 , Test Accuracy: 0.5740595459938049 , TestLoss: 0.678612599575867


Epoch 122, Train Accuracy: 0.9023427963256836 , TrainLoss: 0.28570395985736946 , Test Accuracy: 0.5748432278633118 , TestLoss: 0.6812288628806494


Epoch 123, Train Accuracy: 0.8998237252235413 , TrainLoss: 0.29592550556378816 , Test Accuracy: 0.5750391483306885 , TestLoss: 0.6824227607823787


Epoch 124, Train Accuracy: 0.9003275036811829 , TrainLoss: 0.28057853690200685 , Test Accuracy: 0.5764106512069702 , TestLoss: 0.684087874857542


Epoch 125, Train Accuracy: 0.8980603218078613 , TrainLoss: 0.29039548107854807 , Test Accuracy: 0.5750391483306885 , TestLoss: 0.684792628725907


Epoch 126, Train Accuracy: 0.8969687223434448 , TrainLoss: 0.2875302564060271 , Test Accuracy: 0.5754310488700867 , TestLoss: 0.6854698986117851


Epoch 127, Train Accuracy: 0.8966328501701355 , TrainLoss: 0.29671313417273076 , Test Accuracy: 0.5748432278633118 , TestLoss: 0.6857202307124294


Epoch 128, Train Accuracy: 0.8995717763900757 , TrainLoss: 0.2923887048543215 , Test Accuracy: 0.5746473073959351 , TestLoss: 0.6847614379941751


Epoch 129, Train Accuracy: 0.9004954695701599 , TrainLoss: 0.2838290661726063 , Test Accuracy: 0.5732758641242981 , TestLoss: 0.6870266601014111


Epoch 130, Train Accuracy: 0.8962969779968262 , TrainLoss: 0.29077679900320647 , Test Accuracy: 0.5728840231895447 , TestLoss: 0.6875670864916597


Epoch 131, Train Accuracy: 0.9002435207366943 , TrainLoss: 0.2835653265865434 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.6888041514294886


Epoch 132, Train Accuracy: 0.9022588133811951 , TrainLoss: 0.2882634869395263 , Test Accuracy: 0.5736677050590515 , TestLoss: 0.6892163929085215


Epoch 133, Train Accuracy: 0.9029306173324585 , TrainLoss: 0.27483746339862225 , Test Accuracy: 0.5730799436569214 , TestLoss: 0.6906894948422654


Epoch 134, Train Accuracy: 0.9034343957901001 , TrainLoss: 0.2797152197639271 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.6917999409159802


Epoch 135, Train Accuracy: 0.9020909070968628 , TrainLoss: 0.2712075812924328 , Test Accuracy: 0.5736677050590515 , TestLoss: 0.6934274602510915


Epoch 136, Train Accuracy: 0.9042741060256958 , TrainLoss: 0.27738770382591915 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.6935127326208735


Epoch 137, Train Accuracy: 0.9035183787345886 , TrainLoss: 0.2787213209409319 , Test Accuracy: 0.5748432278633118 , TestLoss: 0.6943774793898592


Epoch 138, Train Accuracy: 0.9035183787345886 , TrainLoss: 0.2745146990693259 , Test Accuracy: 0.5736677050590515 , TestLoss: 0.6957716346437699


Epoch 139, Train Accuracy: 0.9041901230812073 , TrainLoss: 0.2778351914901413 , Test Accuracy: 0.5742554664611816 , TestLoss: 0.6955481466853416


Epoch 140, Train Accuracy: 0.9041901230812073 , TrainLoss: 0.27645314593811643 , Test Accuracy: 0.5748432278633118 , TestLoss: 0.6965364947388301


Epoch 141, Train Accuracy: 0.9007473587989807 , TrainLoss: 0.28491015374054884 , Test Accuracy: 0.5738636255264282 , TestLoss: 0.6968656167224049


Epoch 142, Train Accuracy: 0.9009153246879578 , TrainLoss: 0.2843498784480342 , Test Accuracy: 0.5732758641242981 , TestLoss: 0.6982374659752963


Epoch 143, Train Accuracy: 0.9044420719146729 , TrainLoss: 0.2754442001362073 , Test Accuracy: 0.5740595459938049 , TestLoss: 0.6993825521524372


Epoch 144, Train Accuracy: 0.9037702679634094 , TrainLoss: 0.27108509750618065 , Test Accuracy: 0.5746473073959351 , TestLoss: 0.700705993444776


Epoch 145, Train Accuracy: 0.9031825065612793 , TrainLoss: 0.2781794028472725 , Test Accuracy: 0.5736677050590515 , TestLoss: 0.6992168391278413


Epoch 146, Train Accuracy: 0.9064573049545288 , TrainLoss: 0.2742596534651296 , Test Accuracy: 0.5724921226501465 , TestLoss: 0.7004010023283151


Epoch 147, Train Accuracy: 0.9000756144523621 , TrainLoss: 0.2830565578529222 , Test Accuracy: 0.5736677050590515 , TestLoss: 0.7007549011053652


Epoch 148, Train Accuracy: 0.904022216796875 , TrainLoss: 0.2773808992467586 , Test Accuracy: 0.5738636255264282 , TestLoss: 0.7025810811549452


Epoch 149, Train Accuracy: 0.9057855606079102 , TrainLoss: 0.2753668851041205 , Test Accuracy: 0.5738636255264282 , TestLoss: 0.7024963720688262


Epoch 150, Train Accuracy: 0.9097321629524231 , TrainLoss: 0.2562329160025002 , Test Accuracy: 0.5738636255264282 , TestLoss: 0.7043819100763288


Epoch 151, Train Accuracy: 0.9058695435523987 , TrainLoss: 0.26876052125734107 , Test Accuracy: 0.5740595459938049 , TestLoss: 0.70445562255844


Epoch 152, Train Accuracy: 0.9078008532524109 , TrainLoss: 0.26834943151519547 , Test Accuracy: 0.5744513869285583 , TestLoss: 0.7046710852061544


Epoch 153, Train Accuracy: 0.9046939611434937 , TrainLoss: 0.2710600591494035 , Test Accuracy: 0.5740595459938049 , TestLoss: 0.7048295259936169


Epoch 154, Train Accuracy: 0.9037702679634094 , TrainLoss: 0.27507240140465106 , Test Accuracy: 0.5744513869285583 , TestLoss: 0.7047983439105395


Epoch 155, Train Accuracy: 0.9058695435523987 , TrainLoss: 0.27311539205768887 , Test Accuracy: 0.5744513869285583 , TestLoss: 0.704782179415161


Epoch 156, Train Accuracy: 0.9096481800079346 , TrainLoss: 0.26939374703007707 , Test Accuracy: 0.5746473073959351 , TestLoss: 0.7049035587962643


Epoch 157, Train Accuracy: 0.909144401550293 , TrainLoss: 0.26641158703162493 , Test Accuracy: 0.5742554664611816 , TestLoss: 0.7048527780613397


Epoch 158, Train Accuracy: 0.9070451259613037 , TrainLoss: 0.27261219784718776 , Test Accuracy: 0.5744513869285583 , TestLoss: 0.7048963807333686


Epoch 159, Train Accuracy: 0.9076328873634338 , TrainLoss: 0.27054957741303254 , Test Accuracy: 0.5740595459938049 , TestLoss: 0.7048514367190944


Epoch 160, Train Accuracy: 0.9057855606079102 , TrainLoss: 0.2689714479760726 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.7050363800269208


Epoch 161, Train Accuracy: 0.9051138162612915 , TrainLoss: 0.27003707136192134 , Test Accuracy: 0.5740595459938049 , TestLoss: 0.7050355724988491


Epoch 162, Train Accuracy: 0.907380998134613 , TrainLoss: 0.2657588683209518 , Test Accuracy: 0.5738636255264282 , TestLoss: 0.7052326199189373


Epoch 163, Train Accuracy: 0.9067932367324829 , TrainLoss: 0.2712998423199528 , Test Accuracy: 0.5736677050590515 , TestLoss: 0.7052335150546757


Epoch 164, Train Accuracy: 0.9076328873634338 , TrainLoss: 0.2679437955492479 , Test Accuracy: 0.5740595459938049 , TestLoss: 0.7053960679570217


Epoch 165, Train Accuracy: 0.9062893986701965 , TrainLoss: 0.2684838751344892 , Test Accuracy: 0.5732758641242981 , TestLoss: 0.7054351345699373


Epoch 166, Train Accuracy: 0.9049458503723145 , TrainLoss: 0.26463945398543703 , Test Accuracy: 0.5736677050590515 , TestLoss: 0.7056258066503935


Epoch 167, Train Accuracy: 0.9030985236167908 , TrainLoss: 0.27836433143450906 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.7057110035846892


Epoch 168, Train Accuracy: 0.9078848361968994 , TrainLoss: 0.26822319908339887 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.7057514032115163


Epoch 169, Train Accuracy: 0.9022588133811951 , TrainLoss: 0.28012686324518465 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.7059408433391902


Epoch 170, Train Accuracy: 0.9090604186058044 , TrainLoss: 0.26416999352264586 , Test Accuracy: 0.5734717845916748 , TestLoss: 0.7060089308325255


Epoch 171, Train Accuracy: 0.9037702679634094 , TrainLoss: 0.27631135382873706 , Test Accuracy: 0.5740595459938049 , TestLoss: 0.7060555973704831


Epoch 172, Train Accuracy: 0.9066252708435059 , TrainLoss: 0.2665745116018265 , Test Accuracy: 0.5740595459938049 , TestLoss: 0.7061345539802527


